Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,overtime_flag,business_travel_ord,dept_Sales,dept_RD,dept_HR,marital_Single,marital_Married,marital_Divorced,salary_percentile,promotion_gap_months,tenure_ratio
60,4,5,1,2,2,2,13002,2,12,3,1,2,39,1,4,21,10,3,9,1,1,0,0,1,1,0,0,0.46690478848085726,3.0,0.525
47,14,4,1,2,3,3,12389,1,22,3,2,2,16,1,3,4,4,1,4,0,1,0,1,0,1,0,0,0.37523681717713925,1.0,0.23529411764705882
28,3,1,3,4,3,2,14830,9,18,4,1,1,4,3,3,0,0,0,0,0,2,1,0,0,1,0,0,0.6334925183062718,0.0,0.0
45,5,4,2,3,5,2,14991,9,25,3,2,3,20,0,1,2,2,1,2,0,1,0,1,0,0,1,0,0.5103410167350805,1.0,0.09523809523809523
50,6,3,4,3,1,2,10699,0,23,3,1,1,20,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0.29775813072308177,0.0,0.0
44,15,2,2,2,5,4,14156,5,19,3,1,1,20,4,1,1,1,1,1,0,2,0,1,0,0,1,0,0.4643984843700663,1.0,0.047619047619047616
24,10,5,3,2,4,3,18842,7,25,3,1,3,10,6,1,1,1,1,1,1,1,1,0,0,1,0,0,0.8830308818847501,1.0,0.09090909090909091
44,14,4,1,4,2,1,19073,2,21,3,3,1,23,4,4,0,0,0,0,0,1,0,1,0,0,1,0,0.8283864856330913,0.0,0.0
53,21,3,3,1,5,4,16754,7,25,3,3,0,38,4,2,6,6,2,4,0,1,0,1,0,1,0,0,0.6237764445847805,2.0,0.15384615384615385
27,4,2,4,3,4,1,9504,7,19,3,4,1,1,2,3,0,0,0,0,0,1,0,1,0,1,0,0,0.2451847173981686,0.0,0.0
55,12,1,2,1,4,4,1027,0,25,3,4,1,38,4,4,8,8,2,5,0,0,0,0,1,1,0,0,0.0012278156044201363,2.0,0.20512820512820512
48,3,5,2,4,5,2,15784,1,24,4,3,2,36,4,3,10,5,5,8,0,1,0,1,0,1,0,0,0.5594411114619514,5.0,0.2702702702702703
49,4,2,2,4,4,3,19764,3,24,3,4,1,39,1,2,29,14,3,15,1,2,0,1,0,0,1,0,0.9312835491000947,3.0,0.725
31,4,5,3,3,2,1,1524,2,17,3,3,2,21,6,4,7,5,2,7,1,0,1,0,0,1,0,0,0.017892390958293536,2.0,0.3181818181818182
47,16,3,2,3,5,3,17751,7,20,3,3,1,36,6,4,4,4,4,4,0,2,1,0,0,0,1,0,0.8077682266794015,4.0,0.10810810810810811
55,13,2,2,1,2,4,18190,1,16,3,2,3,23,2,4,4,4,4,4,0,1,0,1,0,0,0,1,0.7410009472687086,4.0,0.16666666666666666
35,2,2,1,3,2,4,18594,9,24,3,4,2,15,4,2,2,2,2,0,1,1,0,1,0,0,0,1,0.7775892011367225,2.0,0.125
23,4,4,3,3,1,1,18411,0,24,4,1,0,9,6,1,1,1,1,1,1,2,1,0,0,0,0,1,0.8532314549506527,1.0,0.1
56,4,3,2,3,1,4,11421,1,25,3,4,3,37,6,4,14,7,3,6,1,1,0,0,1,1,0,0,0.3889943074003795,3.0,0.3684210526315789
56,2,2,2,1,5,1,17553,3,21,3,1,2,36,1,3,5,5,3,4,1,0,0,1,0,1,0,0,0.686454057467635,3.0,0.13513513513513514
23,10,1,3,2,4,1,11041,0,17,3,2,1,7,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0.313348594884749,0.0,0.0
47,11,4,3,3,4,3,18105,4,13,3,4,0,39,5,3,3,2,3,1,1,2,1,0,0,0,1,0,0.8319643425660618,3.0,0.075
45,7,1,2,1,4,1,3335,8,16,3,4,2,12,2,4,0,0,0,0,0,1,0,1,0,1,0,0,0.04487685506788759,0.0,0.0
56,10,1,3,1,1,3,19606,2,19,3,3,3,30,4,2,9,9,2,9,0,1,0,1,0,1,0,0,0.9014445847805495,2.0,0.2903225806451613
36,9,3,4,1,1,1,18944,5,24,4,1,0,27,6,3,2,2,2,2,0,1,1,0,0,0,1,0,0.8916905444126074,2.0,0.07142857142857142
60,7,1,2,4,4,1,2946,9,22,3,4,2,40,0,4,35,17,3,17,0,0,0,0,1,0,1,0,0.04933586337760911,3.0,0.8536585365853658
47,4,2,3,3,4,4,3481,4,12,4,4,2,31,5,1,27,13,1,13,0,2,0,1,0,0,1,0,0.04858699084306915,1.0,0.84375
48,15,3,3,4,4,4,15989,9,19,3,1,2,28,2,1,9,9,1,3,0,1,0,0,1,1,0,0,0.6418127023105257,1.0,0.3103448275862069
54,15,5,1,3,4,3,7846,0,25,3,1,1,31,1,2,19,15,2,6,0,2,0,0,1,1,0,0,0.22803884362093985,2.0,0.59375
33,12,2,3,1,5,1,18347,5,21,3,2,1,25,5,3,3,3,3,3,0,1,0,1,0,0,1,0,0.7558414903694348,3.0,0.11538461538461539
56,5,1,4,4,4,1,4136,2,20,4,3,3,24,0,4,3,3,1,3,0,1,1,0,0,0,0,1,0.12078955746577523,1.0,0.12
58,7,5,4,3,4,1,11618,9,19,3,2,2,32,5,2,14,8,3,8,0,2,0,1,0,1,0,0,0.33916166719292706,3.0,0.42424242424242425
32,24,1,4,4,2,3,6839,5,24,3,1,0,18,4,4,3,3,2,3,0,1,0,1,0,0,1,0,0.14378749605304705,2.0,0.15789473684210525
53,12,2,3,2,3,1,3310,3,25,3,2,2,34,0,2,12,6,1,12,0,1,0,1,0,1,0,0,0.044403220713609096,1.0,0.34285714285714286
29,20,2,3,4,3,4,16158,4,24,3,2,0,5,5,1,0,0,0,0,0,1,0,1,0,0,1,0,0.5825307862330281,0.0,0.0
32,10,5,2,1,1,3,14350,6,19,3,4,1,18,4,2,2,2,2,2,0,1,1,0,0,1,0,0,0.6072588347659981,2.0,0.10526315789473684
58,10,2,2,1,2,2,14384,3,20,4,1,1,37,2,4,24,15,4,9,0,1,0,0,1,0,1,0,0.5436990735573166,4.0,0.631578947368421
26,13,4,4,2,5,3,17483,7,25,4,2,3,17,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0.6802178718029681,0.0,0.0
47,17,1,1,2,1,1,18740,8,25,3,1,0,8,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0.7933375434164824,0.0,0.0
59,26,2,3,3,1,1,14156,7,23,3,2,1,35,5,2,6,6,3,0,1,1,0,1,0,0,1,0,0.4643984843700663,3.0,0.16666666666666666
35,3,4,4,4,5,3,19228,9,20,3,2,1,13,3,3,1,1,1,1,0,1,1,0,0,0,1,0,0.9156956383317415,1.0,0.07142857142857142
22,9,1,1,1,3,2,13361,0,17,3,4,2,18,1,4,0,0,0,0,0,1,0,0,1,1,0,0,0.4876660341555977,0.0,0.0
25,19,2,3,2,5,2,9179,1,21,3,2,0,4,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0.3396370582617001,0.0,0.0
57,12,4,1,2,5,3,18692,7,25,3,1,3,20,4,3,4,4,2,2,0,2,0,1,0,1,0,0,0.7880486264603725,2.0,0.19047619047619047
50,4,5,4,2,2,2,8137,7,20,3,2,2,19,1,3,2,2,2,2,0,1,1,0,0,1,0,0,0.2918178923909583,2.0,0.1
43,11,3,2,2,1,4,9669,5,22,3,1,2,29,4,4,1,1,1,1,0,2,1,0,0,0,0,1,0.36255969436485197,1.0,0.03333333333333333
47,13,3,1,3,2,4,6267,4,24,3,2,0,33,0,2,5,2,1,3,1,2,0,1,0,0,1,0,0.1255525734133249,1.0,0.14705882352941177
57,17,3,2,4,2,3,11474,2,24,3,2,0,35,6,2,17,14,5,13,0,1,0,0,1,1,0,0,0.39178479741042527,5.0,0.4722222222222222
31,9,1,3,1,5,2,15304,7,18,3,3,1,5,1,4,0,0,0,0,0,2,1,0,0,0,1,0,0.6587710920089144,0.0,0.0
25,3,5,3,3,2,1,8472,6,17,4,4,1,4,3,1,0,0,0,0,0,2,0,1,0,1,0,0,0.20283391221976635,0.0,0.0
21,17,1,1,3,4,3,9550,5,25,3,4,2,4,3,2,3,2,3,2,1,1,1,0,0,1,0,0,0.356829035339064,3.0,0.6
54,2,4,2,4,2,2,12367,3,21,3,3,0,22,3,1,0,0,0,0,1,2,1,0,0,1,0,0,0.5002865329512894,0.0,0.0
20,10,4,4,3,5,1,19922,3,24,3,1,0,4,6,3,0,0,0,0,0,1,0,1,0,1,0,0,0.9658983264919482,0.0,0.0
