Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime,BusinessTravel,Department,MaritalStatus,gender,ethnicity,disability,birth_date,age_derived,Attrition
57,10,5,2,4,1,2,19507,7,24,3,3,2,28,2,3,11,9,3,11,No,Travel_Rarely,HR,Married,M,0,0,1969-11-08,57,No
60,11,1,3,3,1,1,3931,8,24,3,1,3,40,6,4,31,14,2,14,No,Travel_Rarely,R&D,Married,F,0,0,1966-12-08,60,No
39,6,4,4,4,1,3,13580,7,25,3,3,3,7,1,4,0,0,0,0,No,Travel_Rarely,Sales,Single,F,0,0,1987-06-18,39,No
31,9,5,1,1,1,2,8813,2,24,3,2,3,8,6,4,1,0,1,1,Yes,Non-Travel,HR,Divorced,M,0,0,1995-02-16,31,Yes
40,16,1,2,3,1,4,14593,3,20,3,3,1,9,0,4,0,0,0,0,No,Travel_Frequently,Sales,Married,M,0,0,1986-07-22,40,No
29,10,5,4,2,4,2,7781,6,23,4,2,1,19,0,2,10,7,2,10,No,Non-Travel,R&D,Married,F,0,0,1997-12-18,29,No
40,6,4,1,4,3,2,16746,7,16,3,4,1,26,5,2,11,9,1,3,No,Travel_Frequently,R&D,Single,M,0,0,1986-05-11,40,No
26,3,1,4,1,5,4,17735,3,25,3,4,1,18,5,3,3,3,3,3,No,Travel_Rarely,HR,Single,F,1,0,2000-06-22,26,No
31,2,2,2,3,3,4,4814,2,25,3,3,1,1,2,4,0,0,0,0,No,Travel_Rarely,HR,Single,M,1,0,1995-04-05,31,No
51,9,2,3,1,4,2,19504,8,20,3,2,3,29,0,4,3,3,1,3,Yes,Travel_Rarely,Sales,Single,M,0,0,1975-05-01,51,No
34,11,3,4,2,5,2,12443,6,25,3,3,1,10,5,1,3,1,2,3,No,Travel_Frequently,R&D,Divorced,F,0,0,1992-02-03,34,No
55,4,1,3,1,1,1,8652,9,25,3,4,3,34,6,1,12,12,2,12,No,Travel_Rarely,R&D,Single,F,0,0,1971-10-20,55,No
47,7,5,1,1,1,3,18021,0,19,3,3,2,32,5,3,11,10,4,9,No,Travel_Frequently,HR,Single,F,0,0,1979-09-13,47,No
34,2,2,1,2,3,3,5551,3,23,4,3,0,16,2,2,1,1,1,1,Yes,Travel_Rarely,R&D,Married,F,0,0,1992-09-05,34,No
45,9,4,3,3,2,3,17661,1,25,3,1,0,5,3,4,0,0,0,0,No,Non-Travel,R&D,Single,F,0,0,1981-11-14,45,No
37,3,2,2,1,3,3,19326,9,23,3,4,0,14,6,2,0,0,0,0,No,Travel_Rarely,R&D,Married,F,0,0,1989-12-05,37,No
30,6,3,1,1,1,3,11568,5,22,3,2,2,19,4,3,10,10,3,7,Yes,Travel_Frequently,Sales,Single,F,1,0,1996-06-19,30,No
47,11,3,1,2,5,4,19508,5,12,4,1,1,19,2,2,2,1,2,2,No,Travel_Rarely,R&D,Single,M,0,0,1979-06-13,47,No
60,6,2,1,3,1,1,15398,7,12,3,4,1,40,3,3,37,15,2,16,Yes,Travel_Frequently,Sales,Divorced,F,0,0,1966-02-11,60,Yes
41,4,4,1,4,3,2,3915,2,14,3,2,2,25,1,2,8,5,3,1,No,Travel_Rarely,Sales,Married,M,0,0,1985-03-09,41,No
22,22,1,4,1,2,3,12566,8,15,3,4,1,5,6,2,0,0,0,0,Yes,Travel_Frequently,Sales,Married,F,0,0,2004-09-18,22,No
24,2,5,1,4,1,1,15729,5,23,3,2,2,2,4,3,0,0,0,0,No,Travel_Rarely,R&D,Single,M,0,0,2002-08-10,24,No
32,21,3,2,3,3,2,2976,4,15,3,3,1,11,3,3,2,2,1,2,Yes,Travel_Frequently,Sales,Single,M,0,0,1994-12-03,32,Yes
35,5,4,3,3,2,2,8136,0,25,3,3,2,16,6,2,2,2,1,2,No,Travel_Rarely,R&D,Married,F,0,0,1991-05-04,35,No
25,19,2,3,2,3,1,18901,1,16,3,3,1,11,1,4,2,1,1,1,No,Travel_Frequently,HR,Single,F,0,0,2001-05-26,25,No
22,5,2,2,3,1,1,18912,8,25,3,3,0,0,6,4,0,0,0,0,No,Travel_Rarely,R&D,Single,F,0,0,2004-05-25,22,No
41,16,3,3,1,4,2,3253,7,24,3,2,1,13,5,4,1,0,1,1,Yes,Travel_Rarely,HR,Single,M,0,0,1985-06-19,41,Yes
35,23,2,3,2,5,3,18690,9,14,3,2,0,19,2,2,2,2,2,2,Yes,Travel_Rarely,R&D,Married,F,0,0,1991-06-08,35,No
45,16,5,1,1,2,1,18303,6,25,3,4,3,5,1,2,5,5,2,5,No,Travel_Rarely,Sales,Married,F,0,0,1981-10-27,45,No
54,11,5,1,4,4,3,19582,3,23,3,3,0,36,3,2,9,9,6,6,No,Travel_Rarely,R&D,Single,M,0,0,1972-04-22,54,No
